index,student_ID,sex,age,major
1,8b6d1125760bd3939b6e,female,24,J23517
2,63eef37311aaac915a45,female,21,J87654
3,5d89810b20079366fcc2,female,23,J87654
4,47eeab842793b09300c3,female,21,J78901
5,a8eea517e36b20757b2e,male,22,J40192
6,e89cdaa3f159a0d3f55e,male,19,J57489
7,e324cc9cb52a2b3cb9cb,male,21,J78901
8,98e10f84d94623f8b39e,male,18,J57489
9,3c89c7f1db26ae691db8,male,21,J40192
10,9ea29e4a747ea4a7c70a,female,24,J78901
11,e23ada44d3eac9b465d2,male,23,J87654
12,b79c2d9d8148403a3720,female,20,J57489
13,01d8aa21ef476b66c573,male,18,J87654
14,9417c1b4c24e428984bc,male,18,J78901
15,3d63ba961a5f3a60616a,male,23,J78901
16,57709f904b1cc9ec60b1,female,20,J40192
17,8979427badebb9e2bd10,female,18,J23517
18,6e7d56f652020f046204,male,24,J40192
19,03aa0b20dd4af1888eef,male,22,J23517
20,1b25734414fcc7466153,male,18,J57489
21,8777bd09f180d330b147,female,20,J78901
22,8b1fbc97391699e46cef,female,23,J57489
23,dc83f9577ae72447a7b1,female,18,J23517
24,be503fccbf0ae5532639,male,23,J40192
25,cd6355bf939a47577f6d,female,24,J78901
26,fb4411db1aac3cd2544b,female,22,J23517
27,f06c3ddb1a98713eeb32,male,23,J87654
28,bca2be7a89b9b36b45cc,male,21,J40192
29,f058870b1bc33e288e82,male,20,J78901
30,a1fa76b5d99a411d6649,female,22,J78901
31,79ea7a2f63285f2fe26b,male,19,J57489
32,54826f4abf592713d585,female,19,J57489
33,e716574233e87591ff19,male,23,J78901
34,bab3d23935ae4f8e798c,male,23,J78901
35,d2403aa287eb869a170a,male,21,J23517
36,ce1a32f22b91f4d81015,female,22,J40192
37,d0a933a514028d777578,female,21,J40192
38,81c4c46f19cb21d54bbb,male,19,J57489
39,876aca2b8ce1958ea773,female,19,J40192
40,c57c5ca2df494f27ca64,male,19,J40192
41,64d1d58d40bca568347c,female,23,J78901
42,75c2677c8d156032e303,female,18,J87654
43,b345ecad87a7fbac77ce,female,20,J23517
44,360820d6620d17d1b48b,female,21,J87654
45,7086b49d3d6c2cf79c1a,male,21,J57489
46,cac3f85073c947532796,female,19,J87654
47,e37bbe9fe37f92b785d9,female,19,J78901
48,0a8736f6520cea837d94,male,24,J78901
49,37ae91c472189108a737,female,20,J87654
50,488934d01a504bc212b4,female,23,J23517
51,545eb6c8154273344669,male,19,J57489
52,22ae866c664a147f9971,female,23,J78901
53,86215294b080f19af22f,female,21,J78901
54,1e25b47eaef62694a236,male,19,J78901
55,580e98185da72b5f34cd,male,20,J23517
56,99d6b8a1cc0020112951,male,19,J40192
57,ff59855075a6bc39d62b,male,23,J78901
58,8d422b817027d7721870,male,22,J23517
59,18cdd44af62c6935e7a0,female,19,J78901
60,c00c91256ab1777d0dbc,male,20,J57489
61,10de703c06bf9d873d68,female,19,J23517
62,t3wo8xb4rq94n3fpfk35,male,20,J78901
63,8cvzwcc62ql4rqj0pyzl,male,19,J57489
64,79cvflltnemb9zpg6pgl,male,18,J78901
65,i21qi5qdsjqcch2xvdd5,male,21,J87654
66,qw1seyo5nrhlm8vby58w,female,23,J23517
67,exj3a7hd6gwihbowgm3w,female,22,J57489
68,qz6jjynwbd3szlp0rj04,female,22,J23517
69,0maggb1hf886m5u6p2vr,male,21,J87654
70,cuwakm24vlp785ky5w71,male,18,J87654
71,uvh2zil455wi0dcdan51,female,24,J78901
72,wwh529n48kyjq1xe9h46,male,24,J78901
73,o5lo8q4tb8yt0v8imkw4,female,19,J40192
74,pr6b1twg5sgsrzek6adi,male,22,J40192
75,zeuj2ypen39p38d4m3oj,male,24,J40192
76,6o68qswzkvrrtbiz6bzr,female,18,J40192
77,1mp9yiw6rkrr3846047g,male,21,J23517
78,lzvutqpj9ggc0nwwsxcv,male,21,J87654
79,isa355t9q5rut5fm8aml,male,19,J78901
80,5gs9643ghg39gpkgi3e5,female,18,J57489
81,ao2x473zwn7k7a6gpfr9,female,18,J57489
82,jwdjcrxdn0um79f0rjvw,female,24,J78901
83,oppl3ojvw61dvd5yw1wl,female,24,J40192
84,s0vfgmhobw9jq6al8iww,female,20,J57489
85,styld7k1gge5cvjria5b,male,22,J23517
86,fvurnsqlgyr9zbd6msqs,male,22,J57489
87,47vclaej1xmb0rc8kgka,female,18,J23517
88,cnkddx6ofjqd7ueylz0e,female,20,J87654
89,zlaig56ve06t7jruk2mr,female,18,J57489
90,ifj584ryrjv639n4nnsu,female,18,J87654
91,xh8a7nmtz192pknhec33,female,24,J78901
92,vhlntoniujqiclub2juy,male,20,J87654
93,9wax6sfj9cuqbbxc95om,male,21,J87654
94,oit2xadfbpuveswzx4pf,female,21,J40192
95,91ybnlkli8x332l13rrk,female,24,J87654
96,k4usquerebza4uy0i57h,male,19,J57489
97,6ae7d356ba998218af82,female,24,J78901
98,2c6339f7c23a64d02081,female,20,J87654
99,79fdbcf16db75f75383a,male,22,J23517
100,50fec4ca4283ad18c000,female,23,J23517
101,077d5c82c9ee5019220f,female,20,J23517
102,41f718ae2aed1d6c2573,male,20,J57489
103,222d5ee50487a2b8601b,male,24,J78901
104,0088dc183f73c83f763e,female,20,J40192
105,f9d95830556934ae9a01,male,23,J57489
