index,title_ID,score,knowledge,sub_knowledge
1,Question_VgKw8PjY1FR6cm2QI9XW,1,r8S3g,r8S3g_l0p5viby
2,Question_q7OpB2zCMmW9wS8uNt3H,1,r8S3g,r8S3g_n0m9rsw4
3,Question_q7OpB2zCMmW9wS8uNt3H,1,r8S3g,r8S3g_l0p5viby
4,Question_fZrP3FJ4ebUogW9V7taS,1,r8S3g,r8S3g_n0m9rsw4
5,Question_BW0ItEaymH3TkD6S15JF,1,r8S3g,r8S3g_n0m9rsw4
6,Question_rvB9mVE6Kbd8jAY4NwPx,1,r8S3g,r8S3g_n0m9rsw4
7,Question_3oPyUzDmQtcMfLpGZ0jW,2,t5V9e,t5V9e_e1k6cixp
8,Question_3MwAFlmNO8EKrpY5zjUd,2,t5V9e,t5V9e_e1k6cixp
9,Question_x2L7AqbMuTjCwPFy6vNr,2,t5V9e,t5V9e_e1k6cixp
10,Question_tgOjrpZLw4RdVzQx85h6,2,t5V9e,t5V9e_e1k6cixp
11,Question_s6VmP1G4UbEQWRYHK9Fd,2,t5V9e,t5V9e_e1k6cixp
12,Question_h7pXNg80nJbw1C4kAPRm,3,m3D1v,m3D1v_r1d7fr3l
13,Question_6RQj2gF3OeK5AmDvThUV,3,m3D1v,m3D1v_r1d7fr3l
14,Question_4nHcauCQ0Y6Pm8DgKlLo,3,m3D1v,m3D1v_r1d7fr3l
15,Question_TmKaGvfNoXYq4FZ2JrBu,3,m3D1v,m3D1v_r1d7fr3l
16,Question_NixCn84GdK2tySa5rB1V,3,m3D1v,m3D1v_r1d7fr3l
17,Question_n2BTxIGw1Mc3Zo6RLdUe,3,m3D1v,m3D1v_r1d7fr3l
18,Question_7NJzCXUPcvQF4Mkfh9Wr,3,m3D1v,m3D1v_v3d9is1x
19,Question_ZTbD7mxr2OUp8Fz6iNjy,3,m3D1v,m3D1v_v3d9is1x
20,Question_Jr4Wz5jLqmN01KUwHa7g,3,m3D1v,m3D1v_t0v5ts9h
21,Question_QRm48lXxzdP7Tn1WgNOf,3,y9W5d,y9W5d_c0w4mj5h
22,Question_QRm48lXxzdP7Tn1WgNOf,3,m3D1v,m3D1v_r1d7fr3l
23,Question_pVKXjZn0BkSwYcsa7C31,3,y9W5d,y9W5d_c0w4mj5h
24,Question_pVKXjZn0BkSwYcsa7C31,3,m3D1v,m3D1v_r1d7fr3l
25,Question_Ej5mBw9rsOUKkFycGvz2,3,y9W5d,y9W5d_c0w4mj5h
26,Question_lU2wvHSZq7m43xiVroBc,3,y9W5d,y9W5d_c0w4mj5h
27,Question_lU2wvHSZq7m43xiVroBc,3,k4W1c,k4W1c_h5r6nux7
28,Question_Mh4CZIsrEfxkP1wXtOYV,3,y9W5d,y9W5d_c0w4mj5h
29,Question_62XbhBvJ8NUSnApgDL94,3,y9W5d,y9W5d_c0w4mj5h
30,Question_x2Fy7rZ3SwYl9jMQkpOD,3,y9W5d,y9W5d_c0w4mj5h
31,Question_x2Fy7rZ3SwYl9jMQkpOD,3,s8Y2f,s8Y2f_v4x8by9j
32,Question_UXqN1F7G3Sbldz02vZne,3,y9W5d,y9W5d_c0w4mj5h
33,Question_Ou3f2Wt9BqExm5DpN7Zk,3,y9W5d,y9W5d_p8g6dgtv
34,Question_Az73sM0rHfWVKuc4X2kL,3,y9W5d,y9W5d_p8g6dgtv
35,Question_EhVPdmlB31M8WKGqL0wc,3,y9W5d,y9W5d_e2j7p95s
36,Question_oCjnFLbIs4Uxwek9rBpu,3,g7R2j,g7R2j_e0v1yls8
37,Question_oCjnFLbIs4Uxwek9rBpu,3,m3D1v,m3D1v_r1d7fr3l
38,Question_5fgqjSBwTPG7KUV3it6O,3,g7R2j,g7R2j_e0v1yls8
39,Question_X3wF8QlTyi4mZkDp9Kae,3,g7R2j,g7R2j_e0v1yls8
40,Question_YWXHr4G6Cl7bEm9iF2kQ,3,g7R2j,g7R2j_j1g8gd3v
41,Question_xqlJkmRaP0otZcX4fK3W,3,g7R2j,g7R2j_e0v1yls8
42,Question_bumGRTJ0c8p4v5D6eHZa,3,b3C9s,b3C9s_l4z6od7y
43,Question_hZ5wXofebmTlzKB1jNcP,3,b3C9s,b3C9s_l4z6od7y
44,Question_FNg8X9v5zcbB1tQrxHR3,4,b3C9s,b3C9s_j0v1yls8
